Company,Title,Price,Rating,Review,Availability
‎Acer,"Acer [SmartChoice] One 14 AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home/MS Office Home and Student) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display","₹28,990.00",3.8 out of 5 stars,261 ratings,In stock
‎HP,"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU","₹39,990.00",4.1 out of 5 stars,"1,902 ratings",In stock
‎ASUS,"ASUS Vivobook 14, Intel Core i3-1115G4 11th Gen, 14"" (35.56 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Transparent Silver/1.60 kg), X1400EA-EK322WS","₹32,990.00",3.8 out of 5 stars,72 ratings,In stock
‎AVITA,"AVITA SATUS S111 NU14A1INC43PN-SG 14.1 FHD (35.81cms) Laptop (Intel Celeron N4020/4GB/128GB SSD/FHD Display/Windows 11 Home/Intel UHD Graphics), Space Grey","₹11,990.00",3.2 out of 5 stars,347 ratings,In stock
‎ASUS,"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, 4GB NVIDIA GeForce RTX 3050 Ti, Gaming Laptop (16GB/512GB SSD/Windows 11/90WHrs Battery/Black/2.30 Kg), FX506HE-HN382W","₹68,990.00",4.3 out of 5 stars,74 ratings,In stock
‎Chuwi,"Chuwi HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), FHD IPS Display, Ultra Slim, Mini-HDMI, USB3.0, Webcam,TF Card","₹18,990.00",3.8 out of 5 stars,"2,194 ratings",In stock
‎HP,"HP [SmartChoice] 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6""(39.6 cm) FHD Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/MSO 2021/1.69 Kg, eq2132au, eq2182au","₹44,009.00",4.1 out of 5 stars,"2,275 ratings",In stock
‎HP,"HP Laptop 15s, 11th Gen Intel Core i5-1155G7, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fr4001TU","₹51,800.00",4.0 out of 5 stars,315 ratings,In stock
‎ASUS,"ASUS [SmartChoice] Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Fingerprint/Silver/1.8 kg), X515MA-BR024WS","₹30,648.00",3.9 out of 5 stars,"1,168 ratings",In stock
‎Lenovo,"Lenovo Yoga Slim 6 Intel Core i5 1240P 14""(35.5cm) 2.2K 300Nit Laptop (16GB/512GB SSD/60Hz Refresh/Win 11/Office 2021/Backlit KB/1Yr Warranty/Alexa/3 Month Game Pass/Storm Grey/1.35Kg), 82WU0095IN","₹59,729.00",4.1 out of 5 stars,155 ratings,In stock
‎ASUS,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS","₹60,490.00",3.5 out of 5 stars,86 ratings,In stock
‎HP,"HP Laptop 15s, 11th Gen Intel Core i3-1125G4, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq2673TU","₹37,990.00",4.1 out of 5 stars,"1,902 ratings",In stock
‎ASUS,"ASUS Vivobook Go 14 (2023), AMD Ryzen 3 7320U, 14-inch (35.56 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.38 kg), E1404FA-NK327WS","₹33,990.00",4.0 out of 5 stars,33 ratings,In stock
‎HP,"(Refurbished) HP Chromebook 13 G1 6th Gen Intel Core m5 FHD Thin & Light Laptop (8 GB RAM/32 GB eMMC + 32 GB MicroSD Card/13.3"" (33.8 cm) FHD/Chrome OS/WiFi/Bluetooth/Webcam/Intel Graphics)","₹14,499.00",2.5 out of 5 stars,3 ratings,In stock
‎ASUS,"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS","₹36,990.00",4.0 out of 5 stars,394 ratings,In stock
‎ASUS,"ASUS Vivobook 15, IntelCore i7-12650H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16 GB RAM/512GB SSD/Win11/Office 2021/Backlit/42WHr /Silver/1.75), X1502ZA-EJ742WS","₹60,990.00",3.9 out of 5 stars,351 ratings,In stock
